Country,Continent,Month,Year,Season,Type Shark
South Africa,Africa,7,1982,Winter,White Shark
South Africa,Africa,6,1982,Winter,White Shark
Australia,Oceania,2,1982,Summer,White Shark
South Africa,Africa,10,1981,Spring,White Shark
Bahamas,North America,8,1981,Summer,Mako
South Africa,Africa,5,1981,Autumn,Tiger
Chile,South America,3,1981,Autumn,White Shark
South Africa,Africa,2,1981,Summer,Blacktip
South Africa,Africa,3,1980,Autumn,Tiger
South Africa,Africa,1,1980,Summer,White Shark
Chile,South America,1,1980,Summer,White Shark
Portugal,Europe,12,1979,Winter,White Shark
South Africa,Africa,11,1979,Spring,White Shark
South Africa,Africa,12,1978,Summer,White Shark
South Africa,Africa,9,1978,Spring,White Shark
Italy,Europe,9,1978,Autumn,White Shark
South Africa,Africa,2,1978,Summer,White Shark
South Africa,Africa,1,1978,Summer,Blacktip
South Africa,Africa,12,1977,Summer,Tiger
South Africa,Africa,10,1977,Spring,White Shark
Australia,Oceania,8,1977,Winter,White Shark
South Africa,Africa,8,1977,Winter,White Shark
South Africa,Africa,5,1977,Autumn,Mako
South Africa,Africa,11,1976,Spring,White Shark
South Africa,Africa,10,1976,Spring,White Shark
South Africa,Africa,10,1976,Spring,White Shark
South Africa,Africa,5,1976,Autumn,Mako
South Africa,Africa,3,1976,Autumn,White Shark
South Africa,Africa,3,1976,Autumn,White Shark
South Africa,Africa,2,1976,Summer,White Shark
South Africa,Africa,1,1976,Summer,White Shark
South Africa,Africa,8,1975,Winter,White Shark
Australia,Oceania,7,1975,Winter,White Shark
South Africa,Africa,4,1975,Autumn,White Shark
Australia,Oceania,2,1975,Summer,White Shark
Israel,Asia,9,1974,Autumn,Mako
Croatia,Europe,8,1974,Summer,White Shark
Australia,Oceania,1,1974,Summer,White Shark
Bahamas,North America,9,1973,Autumn,Bull
Mexico,North America,9,1973,Autumn,White Shark
South Africa,Africa,12,1972,Summer,White Shark
Australia,Oceania,8,1972,Winter,White Shark
Mozambique,Africa,1,1971,Summer,White Shark
South Africa,Africa,12,1971,Summer,White Shark
Croatia,Europe,9,1971,Autumn,White Shark
South Africa,Africa,6,1971,Winter,White Shark
South Africa,Africa,4,1971,Autumn,White Shark
New Zealand,Oceania,3,1971,Autumn,White Shark
Australia,Oceania,3,1969,Autumn,Mako
New Zealand,Oceania,12,1968,Summer,White Shark
Australia,Oceania,12,1968,Summer,White Shark
New Zealand,Oceania,9,1968,Spring,White Shark
Australia,Oceania,8,1967,Winter,White Shark
South Africa,Africa,3,1967,Autumn,White Shark
New Zealand,Oceania,3,1967,Autumn,White Shark
South Africa,Africa,1,1967,Summer,White Shark
South Africa,Africa,1,1967,Summer,Tiger
Australia,Oceania,9,1966,Spring,Mako
Croatia,Europe,8,1966,Summer,White Shark
Australia,Oceania,5,1966,Autumn,White Shark
Australia,Oceania,3,1966,Autumn,White Shark
Australia,Oceania,2,1966,Summer,White Shark
Palau,Oceania,4,1965,Autumn,Tiger
South Africa,Africa,1,1965,Summer,White Shark
Australia,Oceania,11,1964,Spring,White Shark
Australia,Oceania,11,1964,Spring,White Shark
Fiji,Oceania,5,1964,Autumn,Tiger
New Zealand,Oceania,2,1964,Summer,White Shark
South Africa,Africa,2,1954,Summer,White Shark
New Zealand,Oceania,2,1964,Summer,White Shark
South Africa,Africa,1,1964,Summer,White Shark
South Africa,Africa,12,1963,Summer,White Shark
Australia,Oceania,12,1963,Summer,White Shark
Papua New Guinea,Oceania,11,1963,Spring,Tiger
Fiji,Oceania,11,1963,Spring,Tiger
Australia,Oceania,11,1963,Spring,White Shark
Chile,South America,9,1963,Spring,White Shark
Greece,Europe,6,1963,Summer,White Shark
Fiji,Oceania,2,1963,Summer,White Shark
Australia,Oceania,1,1963,Summer,Bull
Australia,Oceania,1,1963,Summer,White Shark
Australia,Oceania,12,1962,Summer,White Shark
South Africa,Africa,2,1962,Summer,White Shark
Papua New Guinea,Oceania,1,1962,Summer,White Shark
Australia,Oceania,1,1962,Summer,White Shark
Croatia,Europe,9,1961,Autumn,White Shark
Bermuda,North America,8,1961,Summer,Blacktip
Australia,Oceania,7,1961,Winter,White Shark
Australia,Oceania,3,1961,Autumn,White Shark
South Africa,Africa,1,1961,Summer,White Shark
South Africa,Africa,1,1961,Summer,White Shark
South Africa,Africa,12,1960,Summer,White Shark
Australia,Oceania,12,1960,Summer,Bull
South Africa,Africa,10,1960,Spring,White Shark
New Zealand,Oceania,6,1960,Winter,White Shark
South Africa,Africa,4,1960,Autumn,White Shark
Australia,Oceania,4,1960,Autumn,White Shark
Australia,Oceania,4,1960,Autumn,Tiger
Australia,Oceania,4,1960,Autumn,White Shark
Papua New Guinea,Oceania,2,1960,Summer,Tiger
Australia,Oceania,2,1960,Summer,Tiger
Australia,Oceania,1,1960,Summer,Bull
Australia,Oceania,12,1959,Summer,Tiger
New Zealand,Oceania,12,1959,Summer,Mako
South Africa,Africa,5,1959,Autumn,White Shark
Australia,Oceania,4,1959,Autumn,Tiger
Australia,Oceania,2,1959,Summer,Mako
South Africa,Africa,1,1959,Summer,White Shark
Turkey,Asia,12,1958,Winter,White Shark
American Samoa,Oceania,12,1958,Summer,Tiger
South Africa,Africa,1,1958,Summer,White Shark
Marshall Islands,Oceania,9,1957,Spring,Mako
Papua New Guinea,Oceania,12,1956,Summer,Tiger
New Zealand,Oceania,12,1956,Summer,Mako
South Africa,Africa,10,1956,Spring,White Shark
Malta,Europe,7,1956,Summer,White Shark
Italy,Europe,3,1956,Spring,White Shark
Croatia,Europe,8,1955,Summer,White Shark
Montenegro,Europe,7,1955,Summer,White Shark
Australia,Oceania,2,1955,Summer,White Shark
Croatia,Europe,10,1954,Autumn,White Shark
Argentina,South America,1,1954,Summer,White Shark
Canada,North America,7,1953,Summer,White Shark
Australia,Oceania,4,1952,Autumn,White Shark
South Africa,Africa,11,1951,Spring,White Shark
South Africa,Africa,11,1951,Spring,White Shark
Greece,Europe,8,1951,Summer,White Shark
Greece,Europe,8,1951,Summer,White Shark
Australia,Oceania,11,1950,Spring,White Shark
Italy,Europe,5,1950,Spring,White Shark
South Africa,Africa,2,1950,Summer,White Shark
Australia,Oceania,1,1949,Summer,White Shark
Australia,Oceania,12,1948,Summer,Tiger
Australia,Oceania,6,1947,Winter,Tiger
South Africa,Africa,3,1947,Autumn,Blacktip
Australia,Oceania,2,1946,Summer,White Shark
Panama,North America,5,1944,Spring,White Shark
Panama,North America,9,1943,Autumn,White Shark
Australia,Oceania,6,1943,Winter,White Shark
Australia,Oceania,12,1942,Summer,Bull
South Africa,Africa,11,1942,Spring,White Shark
South Africa,Africa,11,1942,Spring,White Shark
Australia,Oceania,9,1942,Spring,Tiger
Australia,Oceania,1,1942,Summer,Bull
South Africa,Africa,3,1940,Autumn,White Shark
South Africa,Africa,2,1940,Summer,White Shark
Australia,Oceania,10,1938,Spring,Tiger
Nicaragua,North America,6,1938,Summer,Bull
Iraq,Asia,5,1938,Spring,Bull
Australia,Oceania,1,1938,Summer,Tiger
Australia,Oceania,10,1937,Spring,Tiger
Australia,Oceania,10,1937,Spring,Tiger
Australia,Oceania,8,1937,Winter,Tiger
Australia,Oceania,2,1937,Summer,White Shark
Australia,Oceania,12,1936,Summer,White Shark
Australia,Oceania,8,1936,Winter,Tiger
Australia,Oceania,6,1936,Winter,Tiger
Australia,Oceania,4,1936,Autumn,Tiger
Australia,Oceania,2,1936,Summer,White Shark
Australia,Oceania,1,1936,Summer,White Shark
South Africa,Africa,5,1935,Autumn,White Shark
Australia,Oceania,3,1935,Autumn,Tiger
Australia,Oceania,3,1935,Autumn,White Shark
Australia,Oceania,3,1935,Autumn,White Shark
Australia,Oceania,1,1935,Summer,Tiger
Australia,Oceania,12,1934,Summer,Tiger
Italy,Europe,8,1934,Summer,White Shark
Croatia,Europe,8,1934,Summer,White Shark
Australia,Oceania,2,1934,Summer,Tiger
Australia,Oceania,11,1933,Spring,Tiger
Australia,Oceania,11,1933,Spring,Tiger
Australia,Oceania,10,1932,Spring,Mako
Canada,North America,7,1932,Summer,White Shark
Australia,Oceania,2,1930,Summer,White Shark
South Africa,Africa,1,1930,Summer,White Shark
